tweet,label
It's a wonderful experience at ISKON Temple. It's a most satisfying place to see the beauty of the Lord Krishna.. A great mission from ISKON to serve food for the school children daily..,1
"Really nice temple to visit. So divine, so peaceful. It was so much neat and clean. The food was also good here.",1
"Lord Krishna blessings.
Good to go at puja time early in the morning or evening around 7Pm . It's amazing soul touching vibration and music u can listen and forget all the worries. Can b reach easily by Bangalore metro train nearest station is soap factory. Even near to Yeshwanthpur railway station.",1
"What a great experience. We have been here 4 or 5 times. It's a beautiful compound and the people are super nice. It's clean and a great way to see a temple. I world recommend to find out if it's a special day or not because it can get really crowded. Also, no shorts for men or women and you walk it all without shoes",1
"The cleanliness and sumptuous food merits all praise. The systematic spiritual rituals adds to the authentic worship. The courtesy prasadam is simple but cooked well.

Nice place to visit with kids and family. the early morning aarathi is a visual treat.",1
this is the famous Sri Krishna temple in Bangalore. One of the famous tourist place in bangalore. Very cultural and beautiful place.,1
"Lovely views and a great cafe for snacks , lots to do and eat . Good bookshop also and manned by Devotees",1
One of the modern popular temples. Dedicated to God Krishna. Popular tourist destination. Plan for first or early morning visit of the day.,1
Lovely temple and well built. Its a ISKCON temple but there is venkateswara also in the temple. Beautifully decorated and maintained. Will visit again for sure,1
"We had to travel an hour to reach the temple as we were on the other side of Bengaluru, but the temple is beautifully built. Women need to wear skirts and men the local dhoti. Incase you dont have one its available for rent at the location. Try and avoid peak morning and evening hours.",1
"One place which is a must visit if you are coming to bangalore
Its a
Lord krishna's temple
Its so soothing to be here!!",1
"We visited the Iskcon temple and it gave us the calmness and spiritual connection that we were seeking. The development of the temples over the years is testimony to the great work and influence of Sri Prabupadha, the founder of Iskcon and his legacy lives on here! Hare Krishna",1
"🙏🙏🙏🙏

Feeling blessed

Nice ambience

Superb place to visit with the family and friends

It is also a great picnic spot!!",1
"Its a beautiful and amazing place offers a different vibration all together.

Be there for a while and don't speak a word and you can feel astonishing peace. It might take you to cry even. This feeling can not be described in words.",1
This is a famous Lord Krishna temple where you need to take a long queue to complete the darshan and need take more than 1000 stair steps. If you are not well then avoid taking those steps. Photography is not allowed inside the temple premises hence not sharing any photo. A must visit pace in Bangalore,1
It is a nice place and devotional place. The temple was so good with a good spritual representation in Temple brings in devotional feel .,1
"Come here to spend about 2 hours. You get to see this immense building of temple built on a small hill near Mahalakshmi Layout. The nearest metro station is Mahalakshmi Layout and Sandal soap factory metro is also next close one. The temple provides normal entry for free as well as special entry for Rs.300 for a family which comes along with 4 laddu as Prasad and a book worth Rs.70. The route for special Darshan is shortened.
The Darshan means the view of Lord Krishna is just simply fascinating. Lord Krishna is seen with Radha, also seen with Balrama.
It takes about 25 minutes on a weekday to reach Lord Krishna's idol from the start.
After the Darshan there are stalls to buy books, clothes, toys and others that are related to Iskcon and Hare Krishna Hare Ram. Also there are stalls to have variety of good food, snacks and sweets.
Free prashad is provided to all visitors during the exit.
There is also a restaurant located at the base when you exit the top building where you can have meals on table.",1
The temple shrine is very memorable on janmashtmi..I love going here to get peace and happiness..It makes your stress and mind light..,1
"A soothing place to be in!
The crowd, the music of God, the atmosphere filled with peace! It is all worth it!",1
"A huge Lord Krishna temple situated right next to the main road.
Avoid visiting on weekends to avoid the looooong queues.",1
"loved the experience and the Dharshan, its exceptional, the ambience, the chanting , the devotion...",1
"A very Nice place to visit.
The temple is récent, but it is richly decorated. The statues are very beautiful. Also, a great place to shop indian items and to eat street food even when you are a European. I recommend visiting this place when you are in Bangalore.",1
"Very large extravagant temple of Lord Krishna.Situated on the main road.Option for special darshan, but required only if temple is crowded otherwise not useful to purchase ticket.",1
"One must visit the temple if, in Bengaluru, very beautiful, vast, superb, magnificent are very few words to describe the experience.",1
"Iskon is very commercial now as I visited with family didn't had feeling of temple, just felt like I went see mall or palace with god.
Last year I took my NRI friend he thought Its a mall.",1
Iskcon is recognised as one of the most famous temple in banglore and many are eager to vist the place every weekend. I love to go with my family and like the slogan..,1
"ISKCON temple is one of those unique temples that has made its name as a must see sightseeing location. If you are religiously or culturally inclined you will find you could spend a lot of time here. Ample parking. The architecture is lovely. Very well run, in an orderly manner, there are three floors that house various deities with elevators that connect the different floors.. Lord Krishna here is beautifully decorated by devout followers. The whole ambience is reverent with the chant of Lord Krishna. We were lucky to have visited on Datta Jayanthi. The decor on that day was indescribably beautiful where the main color was all shades of blue and gold interlaced with peacock feathers. A blessed sight that is unforgettable! ISKCON houses many banquet halls where you can hold private events with prior booking. With various in house restaurants, the food is the best part! Awesome does not describe it! There is even a store that sells all things Krishna to take with you as souvenirs. Go for the temple. Go for the architecture. Go for the food. And don't forget to say Radhe Radhe.",1
Beautiful place to visit. you can have dharshan of all avathar. can leave your chappal in the shed. good prasad. easy drop and pick up facilities. Good hygienic veg restaurant.,1
"You do not need to make a donation to enter the temple, however if you do you get a VIP ticket which saves you from standing many of the long lines.
What I wish I knew before the time:
- No camera's are allowed in, rather leave your camera at the hotel (you can take your cellphone in and there are a few places you are allowed to take pictures).
- No shoes or socks allowed, they do have a place at the entrance where you can leave your shoes for a very small fee, take cash for this.

I am glad we went and overall all it was an interesting experience. Would recommend.",1
very modern temple right in the heart of the city situated on an elevated section.Very well maintained and free prasad too.,1
"Best place to visit if you are in Bangalore
Serene peaceful great hangout place delicious food must visit place in Bangalore great people great learning kitchen with cooks more than 500000 mails daily e must visit to get peace of mind great meditation place gorgeous decoration best meditation centre",1
Peaceful is the best to describe this place. There's a serene energy here which makes you feel so good. Also a restaurant with amazing food. Def worth the visit,1
"The temple is a very nice experience, as others have described. My suggestion is to take the expedited lane, which for 300 rupees, allows you to ""cut"" the main line. In addition to that (potentially significant) advantage, you are given a special chanting experience, discounts on temple literature and a box of 2 take home sweets. Well worth it.",1
"This temple is situated on Chord road, on hilly place with a nice location.Well maintained and managed. Beautiful dieties, peaceful atmosphere.Nice place to pray .",1
"Expect to get jostled, ushered and shoved but all in the spirit of this being India and a sacred site to visit that is very popular. There is a shoe drop-off point nearby the entrance where you have to leave your shoes. You can pay the access fee to the temple by card or cash - if you don't have change for shoe storage, the kind people at the entry might provide you a coin. There's a guided route through the temple and I was occasionally direct a different way by guards and temple employees to avoid the fray and get a quicker walk through - which was great. Parts of this temple are very modern and watching the Hare Krishna sing, dance and pray makes you realise why this is a popular religion. A great experience in Bangalore/Bengaluru!",0
"We love this place it's so divine, mantras makes more positive vibes, we usually visit once in every two months to this place .",1
"Fantastic place to visit
Nice food
Great darshan of the deities
Nice Prasadam and great location at Bangalore",1
This temple is one of the best places to visit in Bangalore. The environment is really very peaceful and welcoming. There's always a large amount of people visiting the temple. The best part that I loved about the temple is that the people there encourages the use of technology and the way they blend technology and traditions together is just beyond explanation. I would like to know others review on this place ones you visit here. It's worth going there. I love this place so much.😊😊😊,1
ISKCON is a must see place to go. It is stunningly beautiful and clean. The ambience is reverent.... Until you are herded out through multiple gift shops. Until that I absolutely would have given a 5 star. So I give 4 stars s being forced to go through a theme park like court. I realize they need to make money but I wish they would do it in a different way. I will say the food area is nice and tasty. Go early as there are long lines.,1
"When I visited, the place was fairly crowded. The temple was clean and was constructed beautifully. Krishna shrine was huge and ample space for people to sit. However, in order to exit the temple, the management has a commerical pitch like any other temple wherein you have food stalls and other small shops within. Eveything inside is priced high!",1
"Best place to visit if you are in Bangalore
Serene peaceful great hangout place delicious food must visit place in Bangalore great people great learning kitchen with cooks more than 500000 mails daily e must visit to get peace of mind great meditation place gorgeous decoration best meditation centre",1
Peaceful is the best to describe this place. There's a serene energy here which makes you feel so good. Also a restaurant with amazing food. Def worth the visit,1
"The temple is a very nice experience, as others have described. My suggestion is to take the expedited lane, which for 300 rupees, allows you to ""cut"" the main line. In addition to that (potentially significant) advantage, you are given a special chanting experience, discounts on temple literature and a box of 2 take home sweets. Well worth it.",1
"This temple is situated on Chord road, on hilly place with a nice location.Well maintained and managed. Beautiful dieties, peaceful atmosphere.Nice place to pray .",1
"Expect to get jostled, ushered and shoved but all in the spirit of this being India and a sacred site to visit that is very popular. There is a shoe drop-off point nearby the entrance where you have to leave your shoes. You can pay the access fee to the temple by card or cash - if you don't have change for shoe storage, the kind people at the entry might provide you a coin. There's a guided route through the temple and I was occasionally direct a different way by guards and temple employees to avoid the fray and get a quicker walk through - which was great. Parts of this temple are very modern and watching the Hare Krishna sing, dance and pray makes you realise why this is a popular religion. A great experience in Bangalore/Bengaluru!",1
"We love this place it's so divine, mantras makes more positive vibes, we usually visit once in every two months to this place .",1
"Fantastic place to visit
Nice food
Great darshan of the deities
Nice Prasadam and great location at Bangalore",1
This temple is one of the best places to visit in Bangalore. The environment is really very peaceful and welcoming. There's always a large amount of people visiting the temple. The best part that I loved about the temple is that the people there encourages the use of technology and the way they blend technology and traditions together is just beyond explanation. I would like to know others review on this place ones you visit here. It's worth going there. I love this place so much.😊😊😊,1
ISKCON is a must see place to go. It is stunningly beautiful and clean. The ambience is reverent.... Until you are herded out through multiple gift shops. Until that I absolutely would have given a 5 star. So I give 4 stars s being forced to go through a theme park like court. I realize they need to make money but I wish they would do it in a different way. I will say the food area is nice and tasty. Go early as there are long lines.,1
"When I visited, the place was fairly crowded. The temple was clean and was constructed beautifully. Krishna shrine was huge and ample space for people to sit. However, in order to exit the temple, the management has a commerical pitch like any other temple wherein you have food stalls and other small shops within. Eveything inside is priced high!",1
I love the place. I just love the ambience and the overall experience to be there. And you get really nice food here. The desserts are awesome. It is must visit if you are in Bangalore and love tranquility. Do visit.,1
"The temple is very beautiful and very nice surroundings, it is definitely the best ISKCON temple you can visit in India. We loved the food there it was tasty and very hygenic preparation unlike at other places. The aarti is also grand. Must visit for Lord Krishna devotees",1
Had a bad experience and got shouted at by the fellow just because i moved in a queue without chanting hare ram. Krishna represents pure love but i dint find that they believe in what they are preaching. Very bad experience and has left a bad impression. I wont be considering going there again.,1
"One of the must visit place in Bangalore. One can enrich the spiritual life. The lighting arrangements in the evening, is the best things to see in the city. Lot of tastey food and snacks are also available inside the temple campus.",1
"Over-hyped temple. May be a special place for ISKON members, but not the same for the others. Complicated way up and down the hill to exhaust you. Wastage of time. No peace, no serenity. Hyderabad ISKON though smaller is a much better place.",0
"The place is very big,well maintained and the main attracting thing about this place is it's a very peaceful place which is the very reason I myself have visited many many times and everything thing in Iskcon Temple is Just Perfect...",1
WELL MANAGED temple.good facility for senior citizens even providing lift.once u enter the main hall u feel relaxed,1
"Good place to early in the morning. You can participate in the prayers and bhajans.Also have hot kichidi they serve after the prayers which is pretty good.
Very close to the Green Line Metro station.",1
"This beautiful temple is one of the instittution of Hare Krishna. The ISKCON was founded in 1966 in New York by A. C. Bhaktivedanta Swami Prabhupada. If you are interested about Bakthi Yoga and its practice, learn some basics here.
Tips : You will have to remove footwear. Suggest you donate an amount and that will help you to walk through a special queue less crowded.",1
good ambience and atmosphere. must see place in bangalore. it is a holy place of workship well maintained. only issue is with the approach road which is quite conjusted.,1
situated on a hillock and very near to Metro station. climbing steps maybe hindrance for senior citizens. idols are of marble &remind you of North india temples. delicious prasadam is served here. as usual marketing of sri krishna books and audio here also as in other Iskcon temples.,1
"located on a hill the temple is built on a small hill. Can be reached by Metro line.
Post the Darshan , lot of food stall a located before the exit . these delicacies are worth trying.",0
"This is the most beautiful Isckon temple I have seen, and it gives a good divine feeling. The temple is huge, you can take some time to walk around and explore it. The is a nice mantra chanting spot where you have to walk on tiles and a staircase until you complete the Hare Krsna Hare Rama mantra 108 times. There are a lot of books and souvenirs for sale, as well as nice eatery here. Go for it.",1
It is one of the largest ISKCON temples in the world. The temple is a huge cultural complex that was inaugurated in 1997 by Dr. Shankar Dayal Sharma. There is free distribution of Sri Krishna prasadam to all visitors during the darshana hours.There is a gold-plated dhwaja-stambha (flag post) 17 m (56 ft) high and a gold plated kalash shikara 8.5 m (28 ft) high,1
"This is on higher level situated
Very long way to walk and climbed.
In temple there is full security
It's crowded place
There is. -different sculpture in entrance
Visit them",0
"It ia very nice to visit! Wear socks!!! You will not wear shoes for a very very very long time !!! And you have to walk a loooooot!!!
Nice experience though.
It is pretty basic.",0
Temple is one of the huge Iskcon temples. Peaceful place inside the premise. Temple spreading knowledge of HOLY GRANTH BHAGAWAD GIITA,1
"A serene place to visit which gives you a happy vibes by enchanting ""hare krishna mantra"" with a yummy prasadam. They have many stalls related to fast food, worship material and much more. It looks way more beautiful in evening and morning. I would recommend everyone to visit this temple atleast once.",1
I visited this temple on a spare day when working in Bangalore. The temple is spectacular and we found everyone very welcoming of a Christian visiting their holy place. There are many stalls selling food and trinkets which detract from the experience but similar to many Catholic Churches and Anglican Cathedrals really.,1
I have been this temple multiple time. In Delhi & Bangalore. Its very near to yashwantpura railway and metro station. But there will be always rush. But you can go and spend time pesefully.,1
"If you are living in Bengaluru, then visit to ISKCON temple becomes a must. So, take a day out and visit this place. If time permits, you can visit Orion Mall that's few meters away. People living in Bengaluru East can take Metro to Kempegpwda and then Green Line to Sandal Soap Factory.

I am not a religeous person, but I like being in calm, serene places. When I was roaming around the premises, the first thought that came to my mind was, everything in place is well thought. You start from one end and exit from other. People move around in one direction. Temple people take care of your footwear and luggge. Prasad that you get at the end of the journey was the most delicious and fulfilling prasad I have eaten till date. I felt like crying. I wonder why? :)
One earnest request to the visitors - At some places, taking photos and selfies is prohibited. Please be kind and follow that. People come here to find peace, not Facebook profile pictures.

One thing that bugged me though. Why should there be Pani puri and Samosa stalls in a temple? Somehow I did not like it. It did not go well with the overall atmosphere of the temple.

Second thing is a request to ISKCON temple management. Rickshaw-walas block temple's exit and don't budge at all. It was difficult for me to make my way through them.",1
"Strange place. I was looking for a spiritual place, this is a gaudy, loud, noisy eatery. Food and shopping. People are on cell phones all the time. It's not a temple, more a commercial enterprise. dont bother visitng unless you like starch, sugar and oil.",0
"It is a very good Krishna temple. Very neat and clean. Well managed, well appointed and spacious. Very good arrangement for Darshan. One can peacefully make Darshan. Very good eatery with hygienic food at very reasonable rates. Good parking. Recommended for visit.",1
"It is a beautiful temple. You can feel the vibes. The experience is great in the evening, when you can participate the prayers if you want. You. An also make donations at the exit and buy souvenirs and food.",1
"In my review earlier slight correction.
“Lady's” should read as LADDU
The auto fill in was the culprit
Have been to this temple since their opening about 8-9, years ago. I especially like the laddus from Tirupathi Balaji Temple.",1
"A magnificent piece of architecture that is neat and surrounded by neatness unlike the one in brindhaven on north.

Serene and beautiful architecture that is only impacted by the heavy traffic of bangalore",0
"Its one of the must visit places when you visit Bangalore - Very neat, peaceful and a great place for meditation.",1
"Must visit place in Bangalore.
this temple is truly vaikunta.
i had been to this temple more than 10 times. The ananda and bliss we feel in the temple seeing the dieties in immeasurable.",1
Must visit to get peace of mind . Far from the city but worth the visit. Accessible by metro. Do attend the main aarti it's spectacular,1
"It's a huge temple. You have to leave your shoes in the parking lot. As a visitor, I didn't know how meaningful that would be. After walking from the lot to the temple, you are now on a one-way trip. After observing the service, which we had very little choice in other than to make a scene, we were ushered out a different way than we came in. You either make a scene or you walk through their incredibly long gift shop and food stall track that dumped us out of the temple just about as far away from our shoes as could be - with no real idea where we were. We then wandered around for way too long looking for our shoes and our ride. Very skippable.",0
Peaceful and serene combined with divine spiritual feeling in the chants of 'Hare Ram Hare Krishna' Must visit place .,1
The place is located in one of the main parts of the city. And it's located in a hill top. Well maintained and well preserved place in bangalore.,1
Very nice and peaceful place. I love this place to visit again. You feel the presence of lords Krishna,1
"Wonderful architecture, good maintenance , nice fountain, range of gods...3d shows excellent food court free prasada marriage hall 5 star hoteland what not! My any time favorite area. Great accessories for spiritual as well as religious processes.",1
If to see something in Bangalore then this temple is a must to see. Be prepared for crowd especially during weekends but definitely worth to queuing,1
"Everytime i visit this temple i get a good vibes...the view from this temple is so good!!!the food they serve for devotees is so delicious,tasty...the maintenance of temple is so clean!!!",1
Good temple to visit if you stay near by and you will require atleast 2-3 hours to roam around and see the beautiful temple,1
"The idea and the history of the place is amazing. More than a religious thought, the service has to be appreciated. You must visit it to understand.",1
So many things in Bangalore are in and out in 10 mins. This was different and impressive. Worth visiting if this side of town,1
Visited with my father. Very peaceful and satisfying. My dad enjoyed a lot and we had food also there.,1
"Visit this temple for a holistic sampling of Hinduism. Dedicated to Lord Krishna, the divine cowherd, the majestic temple offers orderly, meticulous worship in a cool marble ambience. The prasad or culinary offering to the Lord,incorporates delectable vegetarian delights from world cuisine, in keeping with Iskcon's international profile. Visit the multi-cuisine restaurant inside the complex for the tastiest meal, post-darshan. Govinda must have been a gourmet!",1
"ISKCON is one of the most beautiful temples in India and can get really crowded at time, especially during festivals. The temple is located in a very nice uphill terrain, albeit covered with cemented steps now. The idols are the most important aspect of any temple, and the idols here are just captivating. A midnight aarati was conducted on the day of Janmashtami, and it was a great experience to be a part of it.",1
"This temple is located on the hills containing temples,marriage halls. During night this location gives good view of the illuminated city around. Occasional festivals makes this place more glittering.",1
"A temple which attracts a lot of devotees and tourists. Situated on Chord Road, near Sandal Soap Factory, it has become one of Bangalore's landmark.
The main temple is for Lord Krishna and his consorts. Regular poojas are held and for devotees who have paid for specific poojas, Prasad is served.
Managed by ISKCON, the people who feed children through their Akshaya Patra scheme.
There is also multicuisine vegetarian restaurant that serve only sattvic food, in the premises.",1
"The place is located about 300 m from the metro station. Getting in of course is a task so select your time carefully. The queue can get very long and tiring. Once inside you can spend some time to look at the architecture and some photos. Getting inside the owner temple also is a huge queue. Once finished, you can pick up some wonderful stuff. Its a huge area like a mini market. Those who like to purchase stuff for home “Mandira” would find a huge number of items.",0
"It was a wonderful experience to visit the ISKCON temple during Deepotsav, just a day after Diwali. They have a very nice, organized system for Darshan. We took a Rs 500 special family pass ,which allows upto 6 persons and includes a short aarti and Prasad and convenient Darshan. Taking the pass was worth and value for money ,going by the efficiency with which everything was handled
Would recommend a visit to anyone who is also not spiritually inclined ,just to experience the beauty and magnificense of the temple. Also heard a lot about the restaurant and other foods offered there but didn't have enough time to try that out .",1
"Temple is beautiful but there one small mall at temple to sell products,and its very expensive that not good.",1
Visiting iskon is like my friends favorite thing as u get pongal as prasad and they love it. It's easily visited as there is metro nearby like 500 mtrs away. The place has a nice calm and wen I visited there was bhajan going on which was great,1
First time at a temple and this did not disappoint. Architecture was interesting and got to watch the closing prayers at about 12:40. I was uncomfortable going barefoot but the floors were clean. Don't be surprised with the commercialism under the temple on the way out,1
"This temple is exquisite! A must see in Bangalore. Although I'm not Hindu, this temple is awe inspiring in it's design.",1
"Beautiful Landmark on west of chord road reachable by all modes of transport. All shrines inside temple are beautifully are decorated daily including the main deity and Poojas done as per religious shastras. Devotees can have darshan, do dhyan before the deity and relish prasadams.",1
You must visit this place if you are in bangalore. The way they have decorated the place and the god and the way they offer prayers to god is beautiful. I feel very peaceful when I visit this place.,1
"Went as a tourist rather than a devotee. Certainly worth seeing, although we went on a public holiday so it was quite crowded. Most of the folks there were more interested in taking selfies rather than enjoying the divinity, but such is life these days!",1
"Iskon is placed in rajajinagar,very well maintained need ,it has good view here ram hare Krishna.Anna Danam is vishesh of iskon",1
As a westerner I found the temple very beautiful and interesting. The monks were very friendly and made me feel welcome.,1
corporate style..ok to visit....cleanliness isbgood..2-3 hours to complete darshan.... overall good temple to visit..,1
The ISKCON temple in its grandeur is the site to behold. Looks beautiful under lights. Very good place to visit during festival time,1
"Located in the heart of the city, you can't miss it if you're in Bangalore.

Must visit, beautiful temple.",1
"Very organized and systematic in making sure there is no conjunction on the crowd. Clean and very pleasant. Well maintained, friendly care takers and very welcoming community. Majestic look and royal feeling as you enter in.",1
The ISKCON temple is a must visited place which is quite approachable from the local metro. It offers a shopping place as well.,1
"Its more of a tourist place than a temple, you can go there once to see the majestic structure, do some shopping, have a free prasada, other than that its not like other old temples(atleast for me)",1
Its a nice outing . Grand place . Very religious but respects and welcomes everyone . Really beautiful,1
A visit to ISKCON Temple in Bengaluru is a must for any traveler. The entire campus is very well planned. There are several temples within the campus with the main temple at the top. One can appreciate the beautiful architecture and get positive vibes when visiting the same.,1
"A great place for any Hindu or anyone interested in knowing about what it is it about being a Hindu, should visit this place wonderful place. Its a wonderful cluster of temples and more over a peaceful and enchanting environment with ever smiling and ever willing to help Krishna devotees.

As an added benefit you will find is that you can't probably find anywhere else on earth is the variety of tasty satvik vegetarian food. Apart from the prasad, you have nice restaurant that cater to different kinds of needs and food stalls that make you feel vegetarian food is heaven!

Must visit for any vegetarian, Hindu or a Krishna devotee...",1
It's an excellent place to pass leisure time. Nice bhog of Lord Krishna is available. It give a wonderful feeling while sitting in front of lord Krishna..,0
Kept getting yelled at for not knowing what to do or go. Thought the Krishnas were calm. Give it a miss.,0
"Must visit place, love this place, big temple in temple in Bangalore, crowded place but holy, love to see the inside the temple",1
"This is the place you will love to visit with your family. You will feel strong positive aura once you enter the main temple. Temple is very well managed and clean. It has ample space for 2 and 4 wheeler parking. Don't miss to taste the food, coconut sweets and snacks. You will everything at affordable price and worth a try.",1
"They are very happy about articttect of the temple and its location at Hilton top ,city view at bottom ,butiful Radhakrishnan Idols, Laxmi Narayan,Lord venkateswara sweet prasadam etc .I too enjoyed the silent meditation and Bajan",1
"I went there for prayers; ending up being overwhelmed with the structure and magnitude of the whole set up. The prayer area is a joy, peace for the mind",1
The ISKCON temple is a great place to visit which houses several temples of shri krishna which is maintained in a great way.,1
The place is a holy place for Krishna devotees. A great temple with an attached shopping center. Worth visiting.,1
"this temple is on the must visit places in bangalore,,it is a huge complex,after your temple visit you have organic shopping ,and agood selection of eatables.",1
"Good place to visit the temple. I visited with family and it was a good pleasent Trip. Good connectivity with metro, local bus transportation n auto available.",0
Visited the temple on janamashtami. Loved the way temple was decorated and the day well spent. So many activities to do and feeding the cows was so much fun and who's miss the prasadam..,1
I keep going to this place whenever I have visitors at home. I personally like the architecture the cleanliness of the temple. Also when you chant hare krishna and step on the stones it gives you a different feel which I cannot express in words. Food is quite amazing here. My personal favorite is Amul ladoo.,1
"A temple visit has different meanings for different people. For the devout, it is a pure and simple opportunity to relate to an idol and a beautiful divine experience. The casually religious may look for more including a family outing and a place to have 'heavenly foods'.
ISKCON is a remarkable temple and community gathering place, offering a bit of everything to everyone, in a well organized, clean, safe environment. While the devout may be a little disappointed with the crowds and the market atmosphere, they too can experience their own inner peace in the middle of the great hall if they tune out the hustle around them. They too can experience the beauty of the avatars on the walk up the stairs. For the rest of us, an ISKCON visit can offer the benefit of a very well organized walk to the great hall, the visual beauty of the decorated 'vigraha/idol', the amazing variety of vegetarian snacks and sweets, a place to buy illuminating books on Hindu philosophy, agarbathi, lights, old school book stands, and even a marriage hall or two!! Of course, the 'prasada' at the end of the darshan can itself be very filling. The aptly named ""Higher Taste"" serves an amazing buffet of sattvic prepared vegetarian food at a slightly higher price, well worth it for those who are hungry and can afford it. ISKCON also offers some degree of assistance to the less physically abled and the older senior citizens in the form transport and wheelchairs. Children too are often happy to come to ISKCON and can find Krishna related activities or quizzes regarding the founder to amuse them. Transport is convenient with with the Sandal Soap factory / Orion mall metro station close by. Overall, ISKCON replicates the community temple that must have been part of the temple ethos in centuries past.",1
"I had been to ISKCON Temple multiple number of times when i was in Bangalore for my further studies for around 3 years. This was one of my favourite spot as it was very near to my PG at Rajajinagar, Bangalore",0
Though I took special visit as my sister was there and being a paid visit it was easier to get closer to main god of temple. I like the place a lot and it is a good place to see,1
"I had been to ISKON temple years ago . This was my second visit . The darshan was wonderful . What disturbed me was the commercialism which has developed. All the exits go through the shopping booths and you have to pass through the food court . Hundred percent chances of youngsters throwing a fit for eatables.
The shopping and eating should be in a different area. Here we should just have a peaceful darshan .",1
The ISKCON temple is a great place to visit which houses several temples of shri krishna which is maintained in a great way.,1
The place is a holy place for Krishna devotees. A great temple with an attached shopping center. Worth visiting.,1
"this temple is on the must visit places in bangalore,,it is a huge complex,after your temple visit you have organic shopping ,and agood selection of eatables.",1
"Good place to visit the temple. I visited with family and it was a good pleasent Trip. Good connectivity with metro, local bus transportation n auto available.",1
Visited the temple on janamashtami. Loved the way temple was decorated and the day well spent. So many activities to do and feeding the cows was so much fun and who's miss the prasadam..,1
I keep going to this place whenever I have visitors at home. I personally like the architecture the cleanliness of the temple. Also when you chant hare krishna and step on the stones it gives you a different feel which I cannot express in words. Food is quite amazing here. My personal favorite is Amul ladoo.,1
